schema_version,case_id,band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,tau_up,path_thermal_W_m2_sr_um,direct_solar_irradiance_at_target_W_m2_um,downward_sky_diffuse_irradiance_W_m2_um,los_path_scattering_radiance_W_m2_sr_um,radiance_unit,irradiance_unit,tau_unit,response_mode,conversion_method,modtran_source_fields,source_case_ids,source_files
1,MWIR_obs3_tar3_rng1_vis2,MWIR,Mid-Latitude Summer,Rural,default,2,3,3,1,,0.7204652336,0.1275239425,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng1_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng1_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng1_vis2_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng5_vis5,MWIR,Mid-Latitude Summer,Rural,default,5,3,3,5,,0.5378679401,0.2112125711,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng5_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis5_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng5_vis10,MWIR,Mid-Latitude Summer,Rural,default,10,3,3,5,,0.5378679401,0.2112125711,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng5_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis10_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng5_vis23,MWIR,Mid-Latitude Summer,Rural,default,23,3,3,5,,0.5378679401,0.2112125711,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng5_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis23_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng5_vis50,MWIR,Mid-Latitude Summer,Rural,default,50,3,3,5,,0.5386544676,0.2109835518,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng5_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis50_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng10_vis2,MWIR,Mid-Latitude Summer,Rural,default,2,3,3,10,,0.4353031913,0.2589229461,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng10_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis2_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng10_vis5,MWIR,Mid-Latitude Summer,Rural,default,5,3,3,10,,0.4353031913,0.2589229461,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng10_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis5_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng10_vis10,MWIR,Mid-Latitude Summer,Rural,default,10,3,3,10,,0.4353031913,0.2589229461,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng10_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis10_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng10_vis23,MWIR,Mid-Latitude Summer,Rural,default,23,3,3,10,,0.4353031913,0.2589229461,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng10_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis23_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng10_vis50,MWIR,Mid-Latitude Summer,Rural,default,50,3,3,10,,0.4365460313,0.2585650465,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng10_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis50_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng20_vis2,MWIR,Mid-Latitude Summer,Rural,default,2,3,3,20,,0.3234554128,0.3097761796,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng20_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis2_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng20_vis5,MWIR,Mid-Latitude Summer,Rural,default,5,3,3,20,,0.3234554128,0.3097761796,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng20_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis5_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng20_vis10,MWIR,Mid-Latitude Summer,Rural,default,10,3,3,20,,0.3234554128,0.3097761796,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng20_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis10_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng20_vis23,MWIR,Mid-Latitude Summer,Rural,default,23,3,3,20,,0.3234554128,0.3097761796,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng20_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis23_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng20_vis50,MWIR,Mid-Latitude Summer,Rural,default,50,3,3,20,,0.3253305431,0.3092579069,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng20_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis50_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng35_vis2,MWIR,Mid-Latitude Summer,Rural,default,2,3,3,35,,0.2339975278,0.3480127073,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng35_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis2_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng35_vis5,MWIR,Mid-Latitude Summer,Rural,default,5,3,3,35,,0.2339975278,0.3480127073,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng35_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis5_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng35_vis10,MWIR,Mid-Latitude Summer,Rural,default,10,3,3,35,,0.2339975278,0.3480127073,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng35_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis10_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng35_vis23,MWIR,Mid-Latitude Summer,Rural,default,23,3,3,35,,0.2339975278,0.3480127073,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng35_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis23_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng35_vis50,MWIR,Mid-Latitude Summer,Rural,default,50,3,3,35,,0.2366182518,0.3473372159,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng35_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis50_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng50_vis2,MWIR,Mid-Latitude Summer,Rural,default,2,3,3,50,,0.180743294,0.3691266775,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng50_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis2_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng50_vis5,MWIR,Mid-Latitude Summer,Rural,default,5,3,3,50,,0.180743294,0.3691266775,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng50_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis5_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng50_vis10,MWIR,Mid-Latitude Summer,Rural,default,10,3,3,50,,0.180743294,0.3691266775,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng50_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis10_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng50_vis23,MWIR,Mid-Latitude Summer,Rural,default,23,3,3,50,,0.180743294,0.3691266775,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng50_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis23_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs3_tar3_rng50_vis50,MWIR,Mid-Latitude Summer,Rural,default,50,3,3,50,,0.1840903804,0.3683143522,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs3_tar3_rng50_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis50_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs5_tar3_rng2_vis2,MWIR,Mid-Latitude Summer,Rural,default,2,5,3,2,,0.6954136838,0.09798698768,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs5_tar3_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis2_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis2_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs5_tar3_rng2_vis5,MWIR,Mid-Latitude Summer,Rural,default,5,5,3,2,,0.6954136838,0.09798698768,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs5_tar3_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis5_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis5_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
1,MWIR_obs5_tar3_rng2_vis10,MWIR,Mid-Latitude Summer,Rural,default,10,5,3,2,,0.6954136838,0.09798698768,,,,W/(m^2 sr um),W/(m^2 um),dimensionless,RectangularBand,pointwise native*1e8/lambda_um^2 then wavelength-domain trapezoidal mean; endpoint linear extrapolation limited to one spectral grid step,COMBIN TRANS;PTH_THRML,MWIR_transmittance_obs5_tar3_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis10_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis10_aerRural_humdefault_sza45,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\processed\band_lut_si_candidate.csv
